,price,year,manufacturer,model,condition,odometer,cylinders,fuel,title_status,transmission,drive,type,paint_color,state
10609,6995,2011,ford,fusi,good,105000.0,6 cylinders,gas,clean,automatic,fwd,sedan,custom,ct
15959,17995,2010,chevrolet,colo,good,80000.0,5 cylinders,gas,clean,automatic,rwd,truck,white,hi
20479,16995,2014,ford,expl,excellent,107858.0,6 cylinders,gas,clean,automatic,fwd,SUV,grey,ia
12283,16999,2017,dodge,gran,excellent,48232.0,6 cylinders,gas,clean,automatic,rwd,van,black,fl
48088,7200,2008,bmw,535i,excellent,103000.0,6 cylinders,gas,clean,automatic,rwd,sedan,silver,tx
4420,13500,2017,dodge,jour,good,101766.0,4 cylinders,gas,clean,automatic,fwd,SUV,white,ca
14543,18500,2005,ford,f350,excellent,123456.0,8 cylinders,gas,clean,automatic,fwd,truck,white,fl
985,12000,1995,chevrolet,corv,excellent,80000.0,8 cylinders,gas,clean,automatic,rwd,coupe,white,az
38721,22900,2017,ford,tran,like new,39665.0,6 cylinders,gas,clean,automatic,rwd,van,white,oh
23149,11600,2007,dodge,spri,good,105000.0,6 cylinders,diesel,clean,automatic,rwd,van,white,md
5729,19995,2013,subaru,impr,excellent,94665.0,4 cylinders,gas,clean,other,4wd,sedan,white,ca
53651,18990,2010,ford,econ,good,32988.0,8 cylinders,gas,clean,automatic,rwd,van,white,wv
9538,18990,2017,chevrolet,impa,excellent,60148.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,co
32052,10995,2008,ford,f150,good,110310.0,8 cylinders,gas,clean,automatic,rwd,pickup,red,nv
55712,5995,2009,buick,luce,good,168432.0,6 cylinders,gas,clean,automatic,fwd,sedan,red,wi
50053,6000,2000,jeep,gran,good,135206.0,8 cylinders,gas,clean,automatic,4wd,SUV,blue,tx
14014,8991,2010,toyota,taco,excellent,213132.0,4 cylinders,gas,clean,automatic,rwd,pickup,silver,fl
18053,9900,2006,jeep,wran,excellent,158000.0,6 cylinders,gas,clean,manual,4wd,SUV,silver,in
49844,21995,2014,jeep,wran,excellent,106377.0,6 cylinders,gas,clean,automatic,4wd,SUV,white,tx
