price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,lat,long
18990,2015.0,subaru,brz limited coupe 2d,good,,other,92471.0,clean,other,rwd,coupe,white,ma,42.35,-71.06
9000,2011.0,nissan,pathfinder,excellent,6 cylinders,gas,135223.0,clean,automatic,4wd,SUV,silver,ma,42.640232,-71.308786
22990,2013.0,mazda,mx-5 miata grand touring,good,,other,20125.0,clean,other,rwd,other,,ma,42.35,-71.06
17990,2016.0,chevrolet,trax ltz sport utility,good,,other,29775.0,clean,other,,hatchback,white,ma,42.35,-71.06
4000,2006.0,honda,oddysey,like new,6 cylinders,gas,163000.0,clean,automatic,rwd,mini-van,grey,ma,42.3838,-70.9824
42999,2018.0,mercedes-benz,e300 4matic,like new,4 cylinders,gas,17000.0,clean,automatic,4wd,sedan,,ma,42.7846,-71.2176
8399,2014.0,nissan,rogue,like new,,gas,150875.0,clean,automatic,4wd,SUV,silver,ma,42.3719,-71.2211
9000,2011.0,nissan,pathfinder,excellent,6 cylinders,gas,135223.0,clean,automatic,4wd,SUV,silver,ma,42.640232,-71.308786
6150,2010.0,acura,mdx awd,,6 cylinders,gas,174111.0,clean,automatic,4wd,SUV,grey,ma,42.4175,-71.3128
32990,2018.0,nissan,titan crew cab sv pickup,good,8 cylinders,gas,27607.0,clean,other,,pickup,silver,ma,42.35,-71.06
37990,2016.0,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,6410.0,clean,other,rwd,coupe,black,ma,42.35,-71.06
38990,2020.0,jeep,wrangler unlimited sport s,good,,other,4007.0,clean,other,4wd,other,black,ma,42.35,-71.06
7900,1968.0,volkswagen,bus,salvage,4 cylinders,gas,124891.0,clean,manual,rwd,van,red,ma,42.5911,-71.3556
30990,2016.0,chevrolet,colorado crew cab z71,good,,other,34940.0,clean,other,4wd,pickup,blue,ma,42.35,-71.06
24990,2018.0,mazda,cx-5 touring sport utility,good,,gas,15784.0,clean,other,,SUV,silver,ma,42.35,-71.06
10000,2014.0,mazda,6,excellent,6 cylinders,gas,59900.0,clean,automatic,fwd,sedan,blue,ma,42.4112,-71.0514
31590,2019.0,mazda,mx-5 miata rf grand,good,,gas,8789.0,clean,other,rwd,other,,ma,42.35,-71.06
27990,2016.0,honda,pilot ex-l sport utility,good,6 cylinders,gas,27085.0,clean,other,,other,blue,ma,42.35,-71.06
30990,2017.0,gmc,sierra 1500 double cab,good,8 cylinders,gas,40050.0,clean,other,,pickup,blue,ma,42.35,-71.06
21990,2018.0,toyota,prius two hatchback 4d,good,,hybrid,37604.0,clean,other,fwd,hatchback,silver,ma,42.35,-71.06
12900,2016.0,honda,civic,,,gas,99131.0,clean,automatic,,sedan,,ma,42.37967,-71.09024
28990,2019.0,honda,passport sport suv 4d,good,6 cylinders,gas,21325.0,clean,other,,other,white,ma,42.35,-71.06
25990,2019.0,ford,f150 regular cab xlt pickup,good,6 cylinders,gas,21480.0,clean,other,,pickup,black,ma,42.35,-71.06
18600,2018.0,subaru,outback premium,excellent,4 cylinders,gas,63000.0,clean,automatic,4wd,wagon,grey,ma,42.4173,-71.1087
33990,2018.0,gmc,sierra 1500,,,other,36455.0,clean,automatic,,other,silver,ma,42.130177,-71.524671
4995,2004.0,nissan,pathfinder le,like new,,gas,112.0,clean,automatic,4wd,,,ma,42.886603,-71.14912
9888,2008.0,gmc,yukon xl denali,excellent,8 cylinders,gas,168915.0,clean,automatic,4wd,SUV,silver,ma,42.859729,-70.927326
5800,2007.0,mercedes-benz,ml 350,excellent,6 cylinders,gas,165000.0,clean,automatic,fwd,SUV,green,ma,42.4173,-71.1087
5998,2004.0,toyota,camry,excellent,4 cylinders,gas,122410.0,clean,automatic,fwd,sedan,silver,ma,42.859729,-70.927326
5495,2005.0,mercury,mountaineer premier,like new,,gas,155.0,clean,automatic,4wd,,,ma,42.886603,-71.14912
5995,2013.0,chevrolet,cruze lt,like new,,gas,141.0,clean,automatic,,,,ma,42.886603,-71.14912
23980,2018.0,jeep,compass,,4 cylinders,gas,27829.0,clean,automatic,4wd,SUV,black,ma,42.68101,-71.42583
7980,2012.0,chevrolet,cruze,,4 cylinders,gas,92986.0,clean,automatic,fwd,sedan,red,ma,42.68101,-71.42583
5495,2006.0,jeep,liberty,like new,,gas,164.0,clean,automatic,4wd,,,ma,42.886603,-71.14912
11180,2017.0,,Smart fortwo electric drive,,,electric,12394.0,clean,automatic,rwd,coupe,black,ma,42.68101,-71.42583
13125,2013.0,ford,taurus sho,good,6 cylinders,gas,101000.0,clean,automatic,4wd,sedan,black,ma,42.1177,-71.3269
29680,2018.0,jaguar,xf,,4 cylinders,gas,22972.0,clean,automatic,4wd,sedan,grey,ma,42.68101,-71.42583
35780,2019.0,ram,1500 classic,,8 cylinders,gas,22212.0,clean,automatic,4wd,truck,black,ma,42.68101,-71.42583
